Activity,Assignment,Attempt,Choice,Comment,Completion_state,Content,Course,Feedback,File_submission,File_submission ,Files,Folder,Grade,Option,Page,Quiz,Report,Resource,Response,Session,Submission,Submission ,Submission_state,Submission_status,Submission_text,URL,assignment,attempt,choice,content,feedback,file_submission,files,folder,page,quiz,resource,response,session,submission,submission_status
33.0,53.0,615.0,4.0,,14.0,57.0,12.0,2.0,12.0,2.0,1.0,7.0,8.0,1.0,,4.0,,6.0,444.0,,13.0,1.0,12.0,31.0,2.0,1.0,6.0,,,1.0,,1.0,,,,,,,,3.0,4.0
48.0,114.0,135.0,8.0,,11.0,77.0,8.0,33.0,17.0,11.0,1.0,8.0,3.0,1.0,4.0,1.0,7.0,19.0,124.0,2.0,21.0,5.0,66.0,47.0,3.0,,4.0,,,4.0,,1.0,,4.0,,4.0,,,,3.0,2.0
28.0,89.0,149.0,5.0,,12.0,96.0,10.0,9.0,14.0,10.0,,29.0,4.0,1.0,1.0,4.0,,17.0,132.0,,24.0,3.0,42.0,27.0,6.0,1.0,34.0,,1.0,37.0,13.0,1.0,,,,,,,1.0,3.0,32.0
,21.0,,6.0,,2.0,38.0,,4.0,2.0,,,5.0,,1.0,1.0,,,19.0,,1.0,3.0,,14.0,2.0,,,,,,,,,,,,,,,,,
64.0,154.0,197.0,6.0,,15.0,185.0,36.0,16.0,21.0,13.0,1.0,32.0,3.0,1.0,3.0,8.0,,13.0,182.0,4.0,39.0,4.0,58.0,72.0,6.0,,30.0,,,32.0,7.0,2.0,,,,,,,,6.0,26.0
50.0,101.0,235.0,2.0,,13.0,132.0,18.0,23.0,21.0,9.0,,24.0,2.0,1.0,3.0,5.0,,17.0,169.0,,27.0,3.0,51.0,36.0,4.0,1.0,12.0,,,6.0,,3.0,,1.0,,,,,,9.0,6.0
45.0,100.0,169.0,7.0,,9.0,152.0,9.0,18.0,9.0,12.0,,29.0,1.0,1.0,2.0,2.0,,26.0,162.0,5.0,12.0,5.0,70.0,29.0,,,23.0,,,20.0,5.0,1.0,,,,,,,,4.0,20.0
34.0,106.0,243.0,8.0,,10.0,159.0,29.0,9.0,9.0,,4.0,63.0,2.0,,1.0,11.0,,20.0,177.0,,16.0,,39.0,78.0,1.0,7.0,1.0,,,,,,,,,,,,,,1.0
42.0,154.0,141.0,14.0,,17.0,120.0,23.0,20.0,22.0,14.0,,42.0,2.0,1.0,2.0,4.0,1.0,22.0,124.0,,26.0,5.0,76.0,59.0,4.0,1.0,16.0,1.0,,16.0,1.0,1.0,,,,1.0,,,,3.0,14.0
23.0,62.0,169.0,4.0,,8.0,43.0,31.0,12.0,16.0,7.0,,6.0,2.0,1.0,2.0,3.0,2.0,16.0,160.0,,18.0,2.0,30.0,23.0,,2.0,5.0,,,3.0,,1.0,,,,1.0,,,,3.0,3.0
72.0,137.0,165.0,7.0,3.0,29.0,220.0,24.0,8.0,10.0,14.0,,31.0,4.0,1.0,6.0,5.0,,22.0,110.0,5.0,21.0,5.0,91.0,53.0,6.0,4.0,9.0,,,3.0,,2.0,,1.0,,,,,,6.0,5.0
19.0,62.0,148.0,3.0,,8.0,75.0,9.0,4.0,14.0,7.0,1.0,17.0,1.0,1.0,1.0,2.0,,31.0,141.0,,17.0,3.0,27.0,22.0,,,6.0,,,6.0,,1.0,,,,1.0,,,,3.0,4.0
43.0,148.0,214.0,9.0,,12.0,181.0,28.0,20.0,16.0,11.0,,48.0,7.0,1.0,7.0,7.0,2.0,19.0,193.0,,25.0,3.0,71.0,67.0,5.0,1.0,22.0,,,25.0,10.0,1.0,,3.0,,2.0,,,,3.0,20.0
61.0,104.0,313.0,8.0,,14.0,155.0,31.0,20.0,11.0,9.0,,29.0,9.0,1.0,1.0,2.0,,23.0,263.0,,18.0,3.0,70.0,44.0,4.0,1.0,23.0,,,25.0,1.0,2.0,,4.0,,,,,,6.0,19.0
71.0,90.0,273.0,5.0,,18.0,99.0,6.0,12.0,12.0,20.0,,15.0,6.0,1.0,,2.0,,18.0,234.0,7.0,19.0,7.0,40.0,45.0,5.0,1.0,28.0,,1.0,21.0,,3.0,,7.0,,,,,,9.0,22.0
1.0,,,,,1.0,4.0,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
53.0,112.0,200.0,13.0,,21.0,148.0,13.0,20.0,21.0,16.0,,27.0,1.0,1.0,2.0,6.0,,21.0,112.0,,37.0,4.0,42.0,61.0,3.0,4.0,12.0,,,17.0,2.0,1.0,,1.0,,1.0,,,,3.0,10.0
23.0,22.0,207.0,6.0,,7.0,20.0,19.0,2.0,3.0,6.0,,10.0,2.0,1.0,,3.0,,2.0,197.0,,5.0,5.0,9.0,20.0,,,7.0,,,4.0,,1.0,,,,,,,,3.0,5.0
53.0,138.0,196.0,5.0,,19.0,148.0,19.0,27.0,22.0,11.0,,26.0,2.0,1.0,3.0,8.0,,13.0,120.0,1.0,34.0,3.0,58.0,68.0,3.0,,8.0,,,9.0,,1.0,,1.0,,,,,,3.0,6.0
73.0,118.0,486.0,7.0,,8.0,145.0,9.0,18.0,15.0,2.0,1.0,28.0,13.0,1.0,4.0,1.0,2.0,24.0,441.0,4.0,16.0,1.0,57.0,53.0,1.0,,5.0,,,5.0,,,,1.0,,1.0,,,,,5.0
25.0,95.0,159.0,6.0,,8.0,41.0,4.0,24.0,11.0,9.0,,11.0,1.0,1.0,3.0,2.0,,9.0,153.0,1.0,12.0,5.0,57.0,34.0,,1.0,6.0,,,2.0,,1.0,,,,,,,,3.0,4.0
130.0,339.0,520.0,20.0,,14.0,326.0,100.0,29.0,28.0,10.0,,46.0,18.0,1.0,2.0,17.0,,18.0,257.0,,60.0,9.0,150.0,180.0,8.0,,11.0,,,10.0,,1.0,,,,2.0,1.0,,,4.0,8.0
14.0,58.0,185.0,5.0,,10.0,69.0,16.0,10.0,12.0,,1.0,7.0,1.0,1.0,1.0,3.0,,13.0,132.0,,14.0,,25.0,27.0,1.0,,1.0,,,,,,,,,,,,,,1.0
17.0,24.0,177.0,6.0,,7.0,19.0,19.0,4.0,6.0,3.0,,7.0,1.0,1.0,1.0,3.0,,8.0,171.0,,5.0,1.0,14.0,13.0,,1.0,,,,,,,,,,,,,,,
32.0,107.0,169.0,13.0,,17.0,115.0,36.0,17.0,16.0,12.0,,21.0,1.0,1.0,10.0,8.0,,23.0,114.0,9.0,19.0,5.0,73.0,32.0,2.0,2.0,10.0,,,6.0,,1.0,,2.0,,1.0,,,,3.0,8.0
37.0,90.0,229.0,6.0,1.0,9.0,98.0,19.0,8.0,13.0,8.0,,27.0,5.0,1.0,1.0,5.0,,22.0,135.0,,25.0,5.0,47.0,37.0,4.0,2.0,7.0,,,11.0,,1.0,,3.0,,,,,,3.0,5.0
29.0,93.0,160.0,8.0,,14.0,53.0,4.0,16.0,20.0,11.0,,21.0,3.0,1.0,1.0,4.0,,11.0,144.0,,27.0,4.0,39.0,37.0,6.0,1.0,9.0,,,4.0,,2.0,,,,,,,,6.0,5.0
29.0,78.0,278.0,7.0,,15.0,91.0,12.0,22.0,12.0,11.0,,17.0,1.0,1.0,2.0,6.0,,14.0,238.0,,18.0,4.0,48.0,29.0,4.0,1.0,10.0,,1.0,10.0,,1.0,,2.0,,,,,,3.0,8.0
35.0,91.0,154.0,6.0,,12.0,47.0,21.0,12.0,16.0,8.0,,12.0,3.0,1.0,1.0,2.0,,23.0,137.0,,19.0,3.0,48.0,33.0,2.0,3.0,6.0,,,4.0,,1.0,,1.0,,,,,,3.0,4.0
26.0,136.0,306.0,9.0,,14.0,103.0,4.0,22.0,25.0,10.0,1.0,25.0,1.0,1.0,5.0,8.0,,33.0,233.0,,30.0,2.0,73.0,37.0,2.0,2.0,24.0,,,21.0,4.0,1.0,,2.0,,2.0,,,,3.0,22.0
92.0,171.0,137.0,20.0,,13.0,187.0,21.0,21.0,15.0,12.0,,29.0,1.0,1.0,5.0,5.0,,26.0,131.0,1.0,26.0,5.0,115.0,66.0,6.0,,12.0,,,3.0,,1.0,,,,1.0,,,,4.0,8.0
41.0,122.0,386.0,5.0,,13.0,146.0,17.0,8.0,18.0,15.0,,20.0,5.0,1.0,2.0,7.0,,21.0,254.0,,28.0,5.0,57.0,53.0,7.0,1.0,12.0,,,11.0,,1.0,,3.0,,,,,,4.0,9.0
62.0,198.0,208.0,3.0,,13.0,236.0,25.0,34.0,20.0,9.0,1.0,36.0,3.0,1.0,8.0,5.0,,22.0,182.0,12.0,30.0,3.0,114.0,67.0,5.0,,11.0,,,10.0,,1.0,,1.0,,,,,,3.0,9.0
132.0,283.0,486.0,11.0,,11.0,85.0,5.0,55.0,25.0,9.0,,47.0,2.0,1.0,11.0,10.0,,27.0,257.0,,31.0,3.0,187.0,104.0,4.0,7.0,29.0,2.0,1.0,3.0,4.0,1.0,2.0,9.0,1.0,5.0,,,,3.0,27.0
23.0,64.0,144.0,4.0,,12.0,64.0,30.0,6.0,9.0,7.0,,11.0,3.0,1.0,,3.0,2.0,8.0,74.0,2.0,13.0,3.0,27.0,38.0,4.0,2.0,6.0,,,3.0,,1.0,,,,,,,,3.0,4.0
38.0,96.0,222.0,8.0,,12.0,99.0,24.0,14.0,9.0,6.0,,11.0,1.0,1.0,2.0,5.0,1.0,6.0,179.0,17.0,7.0,2.0,50.0,52.0,1.0,2.0,16.0,,,12.0,1.0,1.0,,,,1.0,,,2.0,3.0,14.0
62.0,80.0,206.0,7.0,,12.0,102.0,33.0,9.0,9.0,17.0,,12.0,1.0,1.0,4.0,7.0,,1.0,153.0,2.0,10.0,6.0,40.0,58.0,,2.0,8.0,,,6.0,,1.0,,,,1.0,,,,3.0,6.0
44.0,106.0,291.0,8.0,,9.0,156.0,16.0,15.0,7.0,6.0,,19.0,7.0,1.0,2.0,8.0,,16.0,168.0,1.0,10.0,2.0,71.0,32.0,3.0,6.0,3.0,,,3.0,,,,,,,,,,,3.0
132.0,263.0,246.0,12.0,,18.0,491.0,48.0,31.0,25.0,9.0,,84.0,6.0,1.0,11.0,28.0,,20.0,216.0,26.0,32.0,6.0,145.0,113.0,6.0,1.0,45.0,,,58.0,15.0,2.0,,7.0,,9.0,,,4.0,6.0,41.0
42.0,66.0,212.0,3.0,,14.0,46.0,41.0,10.0,15.0,10.0,,8.0,1.0,1.0,1.0,2.0,1.0,26.0,125.0,,20.0,9.0,21.0,50.0,4.0,4.0,,,,,,,,,,,,,,,
33.0,47.0,115.0,3.0,,8.0,49.0,19.0,14.0,8.0,12.0,2.0,13.0,1.0,1.0,1.0,3.0,,23.0,99.0,1.0,11.0,4.0,23.0,34.0,2.0,2.0,,,,,,,,,,,,,,,
27.0,115.0,437.0,8.0,,14.0,149.0,19.0,6.0,15.0,7.0,,18.0,3.0,1.0,4.0,9.0,,17.0,208.0,2.0,33.0,2.0,49.0,40.0,6.0,1.0,7.0,,,7.0,,1.0,,,,,,,,3.0,5.0
